compound_id,smiles,pIC50
CMP0070,FC(F)(F)c1cccnc1,7.172
CMP0071,c1cncc(N2CCOCC2)c1,5.149
CMP0072,CC1CCCCC1,7.583
CMP0073,CCC1CCCCC1,7.342
CMP0074,CCCC1CCCCC1,6.207
CMP0075,CC(C)C1CCCCC1,6.464
CMP0076,CCCCC1CCCCC1,5.223
CMP0077,OC1CCCCC1,5.464
CMP0078,COC1CCCCC1,6.522
CMP0079,CCOC1CCCCC1,7.313
CMP0080,NC1CCCCC1,5.783
CMP0081,CNC1CCCCC1,5.549
CMP0082,CN(C)C1CCCCC1,6.674
CMP0083,ClC1CCCCC1,7.713
CMP0084,BrC1CCCCC1,7.901
CMP0085,FC1CCCCC1,7.37
CMP0086,O=C(O)C1CCCCC1,5.036
CMP0087,NC(=O)C1CCCCC1,4.698
CMP0088,N#CC1CCCCC1,6.948
CMP0089,NS(=O)(=O)C1CCCCC1,4.61
CMP0090,OCC1CCCCC1,5.621
CMP0091,OCCC1CCCCC1,6.559
CMP0092,NCC1CCCCC1,5.654
CMP0093,c1ccc(C2CCCCC2)cc1,5.895
CMP0094,FC(F)(F)C1CCCCC1,7.051
CMP0095,C1CCC(N2CCOCC2)CC1,5.722
CMP0096,CC1CCCNC1,6.09
CMP0097,CCC1CCCNC1,5.863
CMP0098,CCCC1CCCNC1,6.116
CMP0099,CC(C)C1CCCNC1,6.036
CMP0100,CCCCC1CCCNC1,6.655
CMP0101,OC1CCCNC1,5.461
CMP0102,COC1CCCNC1,5.509
CMP0103,CCOC1CCCNC1,4.728
CMP0104,NC1CCCNC1,5.479
CMP0105,CNC1CCCNC1,5.067
CMP0106,CN(C)C1CCCNC1,5.255
CMP0107,ClC1CCCNC1,5.732
CMP0108,BrC1CCCNC1,5.679
CMP0109,FC1CCCNC1,5.578
CMP0110,O=C(O)C1CCCNC1,4.961
CMP0111,NC(=O)C1CCCNC1,3.398
CMP0112,N#CC1CCCNC1,5.254
CMP0113,NS(=O)(=O)C1CCCNC1,4.404
CMP0114,OCC1CCCNC1,5.12
CMP0115,OCCC1CCCNC1,5.089
CMP0116,NCC1CCCNC1,4.99
CMP0117,c1ccc(C2CCCNC2)cc1,6.747
CMP0118,FC(F)(F)C1CCCNC1,6.358
CMP0119,C1CNCC(N2CCOCC2)C1,5.587
CMP0120,Cc1cccs1,7.675
CMP0121,CCc1cccs1,6.422
CMP0122,CCCc1cccs1,7.291
CMP0123,CC(C)c1cccs1,7.474
CMP0124,CCCCc1cccs1,6.16
CMP0125,Oc1cccs1,5.8
CMP0126,COc1cccs1,6.318
CMP0127,CCOc1cccs1,7.154
CMP0128,Nc1cccs1,6.398
CMP0129,CNc1cccs1,6.329
CMP0130,CN(C)c1cccs1,6.491
CMP0131,Clc1cccs1,7.462
CMP0132,Brc1cccs1,7.265
CMP0133,Fc1cccs1,6.658
CMP0134,O=C(O)c1cccs1,5.158
CMP0135,NC(=O)c1cccs1,4.91
CMP0136,N#Cc1cccs1,6.334
CMP0137,NS(=O)(=O)c1cccs1,4.107
CMP0138,OCc1cccs1,5.523
CMP0139,OCCc1cccs1,5.811
CMP0140,NCc1cccs1,5.321
CMP0141,c1ccc(-c2cccs2)cc1,6.618
CMP0142,FC(F)(F)c1cccs1,7.987
CMP0143,c1csc(N2CCOCC2)c1,5.584
CMP0144,Cc1ccco1,5.683
CMP0145,CCc1ccco1,6.599
CMP0146,CCCc1ccco1,6.857
CMP0147,CC(C)c1ccco1,7.312
CMP0148,CCCCc1ccco1,7.049
CMP0149,Oc1ccco1,5.569
CMP0150,COc1ccco1,5.764
CMP0151,CCOc1ccco1,6.134
CMP0152,Nc1ccco1,5.677
CMP0153,CNc1ccco1,5.589
CMP0154,CN(C)c1ccco1,5.896
CMP0155,Clc1ccco1,6.711
CMP0156,Brc1ccco1,7.065
CMP0157,Fc1ccco1,5.611
CMP0158,O=C(O)c1ccco1,5.176
CMP0159,NC(=O)c1ccco1,3.45
CMP0160,N#Cc1ccco1,5.77
CMP0161,NS(=O)(=O)c1ccco1,4.637
CMP0162,OCc1ccco1,5.401
CMP0163,OCCc1ccco1,5.176
CMP0164,NCc1ccco1,6.029
CMP0165,c1ccc(-c2ccco2)cc1,6.858
CMP0166,FC(F)(F)c1ccco1,7.201
CMP0167,c1coc(N2CCOCC2)c1,4.955
CMP0168,CN1CCOCC1,5.551
CMP0169,CCN1CCOCC1,5.32
CMP0170,CCCN1CCOCC1,5.078
CMP0171,CC(C)N1CCOCC1,5.352
CMP0172,CCCCN1CCOCC1,4.715
CMP0173,ON1CCOCC1,5.945
CMP0174,CON1CCOCC1,4.897
CMP0175,CCON1CCOCC1,5.171
CMP0176,NN1CCOCC1,5.283
CMP0177,CNN1CCOCC1,5.266
CMP0178,CN(C)N1CCOCC1,5.47
CMP0179,ClN1CCOCC1,5.707
CMP0180,BrN1CCOCC1,6.095
CMP0181,FN1CCOCC1,5.694
CMP0182,O=C(O)N1CCOCC1,4.736
CMP0183,NC(=O)N1CCOCC1,3.731
CMP0184,N#CN1CCOCC1,5.618
CMP0185,NS(=O)(=O)N1CCOCC1,4.611
CMP0186,OCN1CCOCC1,5.594
CMP0187,OCCN1CCOCC1,5.275
CMP0188,NCN1CCOCC1,5.179
CMP0189,FC(F)(F)N1CCOCC1,5.41
CMP0190,C1CN(N2CCOCC2)CCO1,4.864
CMP0191,CC(=O)c1ccccc1,5.896
CMP0192,CCC(=O)c1ccccc1,6.333
CMP0193,CCCC(=O)c1ccccc1,6.568
CMP0194,CC(C)C(=O)c1ccccc1,7.02
CMP0195,CCCCC(=O)c1ccccc1,6.059
CMP0196,COC(=O)c1ccccc1,5.309
CMP0197,CCOC(=O)c1ccccc1,5.492
CMP0198,CNC(=O)c1ccccc1,4.81
CMP0199,CN(C)C(=O)c1ccccc1,5.424
CMP0200,O=C(Cl)c1ccccc1,7.003
CMP0201,O=C(Br)c1ccccc1,6.81
CMP0202,O=C(F)c1ccccc1,6.221
CMP0203,O=C(O)C(=O)c1ccccc1,4.822
CMP0204,NC(=O)C(=O)c1ccccc1,3.998
CMP0205,N#CC(=O)c1ccccc1,5.326
CMP0206,NS(=O)(=O)C(=O)c1ccccc1,3.897
CMP0207,O=C(CO)c1ccccc1,4.816
CMP0208,O=C(CCO)c1ccccc1,4.663
CMP0209,NCC(=O)c1ccccc1,4.573
CMP0210,O=C(c1ccccc1)c1ccccc1,6.656
CMP0211,O=C(c1ccccc1)C(F)(F)F,6.784
CMP0212,O=C(c1ccccc1)N1CCOCC1,5.072
CMP0213,CS(=O)(=O)c1ccccc1,5.561
CMP0214,CCS(=O)(=O)c1ccccc1,5.392
CMP0215,CCCS(=O)(=O)c1ccccc1,6.088
CMP0216,CC(C)S(=O)(=O)c1ccccc1,6.542
CMP0217,CCCCS(=O)(=O)c1ccccc1,6.549
CMP0218,O=S(=O)(O)c1ccccc1,5.276
CMP0219,COS(=O)(=O)c1ccccc1,5.606
CMP0220,CCOS(=O)(=O)c1ccccc1,4.822
CMP0221,CNS(=O)(=O)c1ccccc1,5.151
CMP0222,CN(C)S(=O)(=O)c1ccccc1,5.279
CMP0223,O=S(=O)(Cl)c1ccccc1,5.863
CMP0224,O=S(=O)(Br)c1ccccc1,6.11
CMP0225,O=S(=O)(F)c1ccccc1,5.43
CMP0226,O=C(O)S(=O)(=O)c1ccccc1,3.934
CMP0227,NC(=O)S(=O)(=O)c1ccccc1,3.543
CMP0228,N#CS(=O)(=O)c1ccccc1,4.251
CMP0229,NS(=O)(=O)S(=O)(=O)c1ccccc1,3.772
CMP0230,O=S(=O)(CO)c1ccccc1,4.663
CMP0231,O=S(=O)(CCO)c1ccccc1,5.128
CMP0232,NCS(=O)(=O)c1ccccc1,4.218
CMP0233,O=S(=O)(c1ccccc1)c1ccccc1,7.369
CMP0234,O=S(=O)(c1ccccc1)C(F)(F)F,6.817
CMP0235,O=S(=O)(c1ccccc1)N1CCOCC1,5.117
CMP0236,Cc1ccccc1Oc1ccccc1,5.8
CMP0237,CCc1ccccc1Oc1ccccc1,5.498
CMP0238,CCCc1ccccc1Oc1ccccc1,4.984
CMP0239,CC(C)c1ccccc1Oc1ccccc1,5.488
CMP0240,CCCCc1ccccc1Oc1ccccc1,4.753
CMP0241,Oc1ccccc1Oc1ccccc1,6.445
CMP0242,COc1ccccc1Oc1ccccc1,5.795
CMP0243,CCOc1ccccc1Oc1ccccc1,5.081
CMP0244,Nc1ccccc1Oc1ccccc1,6.912
CMP0245,CNc1ccccc1Oc1ccccc1,5.71
CMP0246,CN(C)c1ccccc1Oc1ccccc1,5.61
CMP0247,Clc1ccccc1Oc1ccccc1,6.029
CMP0248,Brc1ccccc1Oc1ccccc1,6.033
CMP0249,Fc1ccccc1Oc1ccccc1,7.049
CMP0250,O=C(O)c1ccccc1Oc1ccccc1,5.482
CMP0251,NC(=O)c1ccccc1Oc1ccccc1,6.694
CMP0252,N#Cc1ccccc1Oc1ccccc1,5.952
CMP0253,NS(=O)(=O)c1ccccc1Oc1ccccc1,5.308
CMP0254,OCc1ccccc1Oc1ccccc1,7.039
CMP0255,OCCc1ccccc1Oc1ccccc1,6.603
CMP0256,NCc1ccccc1Oc1ccccc1,6.551
CMP0257,c1ccc(Oc2ccccc2-c2ccccc2)cc1,4.809
CMP0258,FC(F)(F)c1ccccc1Oc1ccccc1,5.931
CMP0259,c1ccc(Oc2ccccc2N2CCOCC2)cc1,5.516
CMP0260,CC1C=CC(=O)N1,4.609
CMP0261,CCC1C=CC(=O)N1,5.176
CMP0262,CCCC1C=CC(=O)N1,4.331
CMP0263,CC(C)C1C=CC(=O)N1,4.586
CMP0264,CCCCC1C=CC(=O)N1,4.418
CMP0265,O=C1C=CC(O)N1,4.722
CMP0266,COC1C=CC(=O)N1,4.931
CMP0267,CCOC1C=CC(=O)N1,4.653
CMP0268,NC1C=CC(=O)N1,4.067
CMP0269,CNC1C=CC(=O)N1,4.636
CMP0270,CN(C)C1C=CC(=O)N1,4.691
CMP0271,O=C1C=CC(Cl)N1,5.466
CMP0272,O=C1C=CC(Br)N1,4.696
CMP0273,O=C1C=CC(F)N1,5.36
CMP0274,O=C1C=CC(C(=O)O)N1,4.082
CMP0275,NC(=O)C1C=CC(=O)N1,4.036
CMP0276,N#CC1C=CC(=O)N1,4.787
CMP0277,NS(=O)(=O)C1C=CC(=O)N1,4.07
CMP0278,O=C1C=CC(CO)N1,4.823
CMP0279,O=C1C=CC(CCO)N1,4.359
CMP0280,NCC1C=CC(=O)N1,3.636
CMP0281,O=C1C=CC(c2ccccc2)N1,5.122
CMP0282,O=C1C=CC(C(F)(F)F)N1,5.53
CMP0283,O=C1C=CC(N2CCOCC2)N1,4.268
